var,b_final_value
SUSYc1XM1,-1.261916638205475269217559470625363788963271241884296883585713688115164877170678168670991633845213071100e+00
SUSYc1XM2,-1.915281514037553747662095601726510592584765474933335008092725282516885995744337184593648763377992453980e+01
SUSYc1XM4,-2.387784488960088275373190060319832985674430706201188290332877256587141239042251829137669577806948290290e+02
SUSYc1XM5,-2.958343975316524293035205503129086619570863835368564140669228249393502818311823851162617989693018661330e+02
SUSYc1XM6,-2.274631701508373651581874560444355057140541983734985981423281529464570227656047144598456444385063651250e+02
SUSYc1XM7,-7.743084821015869959191235916563834821265457944458688119583418182179036612539960516315456226286773129730e+02
SUSYc1XM8,-5.908335298942061569303234244970376948548561557566116412132996369207392101944696264586521550869493624040e+02
SUSYc1XM9,5.889280941525514895028555697354112211367587249681136222183801434939311799059690563098716158171735604550e+02
SUSYc1XM10,-5.191523730916582356538947250629235868110674255330033656213616054668747286343430276594842786153309433250e+02
SUSYc2XM1,6.309583191027376346087797353126818944816356209421484417928568440575824385853390843354958169226065355480e-01
SUSYc2XM2,3.308293108609050005090757751973001045991160771124789033717899912592989820987871772814378411032732334020e+00
SUSYc2XM3,7.021722200596032675026850869375511313657456456163185011235121091671028509654801992912088868938288238870e+00
SUSYc2XM4,2.372902747599057331895603627375319517928569826551367291185948826758785047183142253173972640170353981260e+00
SUSYc2XM5,1.508103019301776047972489725143517864847330535402769671077462192622645845118671907894562431878017875630e+00
SUSYc2XM6,9.009003484910988827956928206563496652675059763521588893233121211728545377634218947898919072127369208050e+00
SUSYc2XM7,-4.355433717625472814805893394294819005574165265621808768551817504189266867952093853859729516380293516580e+00
