var,b_final_value
SUSYc1XM1,-4.500203989670632672100959401639617242726070e+00
SUSYc1XM2,1.323911734216733846978876763661244366614030e+00
SUSYc1XM3,7.105554192270894778386637030575587660488660e+01
SUSYc1XM4,-3.803692092132848547136431920416558388992870e+02
SUSYc1XM6,-5.728085688689867075688802326562093321405230e+03
SUSYc1XM7,-6.488067193991556872700589918365671742697690e+03
SUSYc1XM8,-1.561079935654733722419363950788726030309170e+04
SUSYc1XM9,-9.333489690936461496382181865863987257432420e+03
SUSYc1XM10,-4.430817339252203458987244217958112515029640e+03
SUSYc2XM1,3.000135993113755114733972934426937402420860e+00
SUSYc2XM2,8.540626375167818719739853387414894054833090e+00
SUSYc2XM3,1.095116255811656127231672531881357846461420e+01
SUSYc2XM4,9.803498282689477045782576066363884863409090e+00
SUSYc2XM5,3.432539223476623193900779458508230516939370e+00
