var,b_final_value
SUSYc1XM1,-1.26191663820547526921755947075015543536365969982662967016998189882328532502458009342073994870615059694637504408646403406460e+00
SUSYc1XM2,-1.91528151403755374766209560160002561584767062229025120080408180617553148970477158981406186629879299329687970400581724908250e+01
SUSYc1XM4,-2.38778448896008827537319006011617816692111359025462500637115009629345703555908213590368037460457727025346210457366424853380e+02
SUSYc1XM5,-2.95834397531652429303520550317529438423685649276524157731718886019727988238223410395388280035491016658758244547598095110790e+02
SUSYc1XM6,-2.27463170150837365158187456003774300901715560066233886222072328296034894411702948320208164386786841457238433306305319233450e+02
SUSYc1XM7,-7.74308482101586995919123591593890555020448536812488986309025681733074289975674008896070333951642610134532816693303154848720e+02
SUSYc1XM8,-5.90833529894206156930323424628810180984703311095102362637586674493662690161328425383828697060607756445992347105345744260800e+02
SUSYc1XM9,5.88928094152551489502855569905731715837111882541130183722477484734686800666051536006954595384036720960415702693009011350380e+02
SUSYc1XM10,-5.19152373091658235653894725143778949087520697225964992451216342117235829385867986236869440354551620085259780832041923942680e+02
SUSYc2XM1,6.30958319102737634608779735375077717681829849913314835084990949411642662512290046710369974353075298473187522043232017032280e-01
SUSYc2XM2,3.30829310860905000509075775180831034595760853694797243046880226404608096354721399963453693116397859814876700096806575915780e+00
SUSYc2XM3,7.02172220059603267502685086971700559414984294331132551090835804096322817353601661926629784910619011839690749391672344116980e+00
SUSYc2XM4,2.37290274759905733189560362778824169569923120351082022224112156351489652306937680490219007280834687943557506132098346954630e+00
SUSYc2XM5,1.50810301930177604797248972390529162578407800950084658933633861505282895061807027884607525147081189316043805101908096492970e+00
SUSYc2XM6,9.00900348491098882795692820855477309719297890879447741310307991702303706650396871813222573822648951129746931635956634683320e+00
SUSYc2XM7,-4.35543371762547281480589339521836429777869266001565997648679280440803497583384105773262900210429314095264319352418490025190e+00
