var,b_final_value
SUSYc1XM1,-1.261916638205475269217559470625363788963271241884296883585713686540915277130874789650284901037008062770e+00
SUSYc1XM2,-1.915281514037553747662095601726510592584765474933335008092725284150575991270599862476441164397697130250e+01
SUSYc1XM4,-2.387784488960088275373190060319832985674430706201188290332877259263835048557268199521742262264139002720e+02
SUSYc1XM5,-2.958343975316524293035205503129086619570863835368564140669228248492268753113030406943114972055308542520e+02
SUSYc1XM6,-2.274631701508373651581874560444355057140541983734985981423281536556266996769432876047697295088209368610e+02
SUSYc1XM7,-7.743084821015869959191235916563834821265457944458688119583418185931757806851101532322596229401072800470e+02
SUSYc1XM8,-5.908335298942061569303234244970376948548561557566116412132996360287503531933189080304216262517097096740e+02
SUSYc1XM9,5.889280941525514895028555697354112211367587249681136222183801420036161471267342615709901038059009014610e+02
SUSYc1XM10,-5.191523730916582356538947250629235868110674255330033656213616047422712110276095289649387695405232176610e+02
SUSYc2XM1,6.309583191027376346087797353126818944816356209421484417928568432704576385654373948251424505185040313830e-01
SUSYc2XM2,3.308293108609050005090757751973001045991160771124789033717899914884015612581924634193556222232611680940e+00
SUSYc2XM3,7.021722200596032675026850869375511313657456456163185011235121086354069242362956026159997131665823445680e+00
SUSYc2XM4,2.372902747599057331895603627375319517928569826551367291185948825937527382232190484842229391528324119360e+00
SUSYc2XM5,1.508103019301776047972489725143517864847330535402769671077462201244250205260837709401915356531647701180e+00
SUSYc2XM6,9.009003484910988827956928206563496652675059763521588893233121194510096573852342788849977199715713068040e+00
SUSYc2XM7,-4.355433717625472814805893394294819005574165265621808768551817495762948727770223093628636688668435366530e+00
