var,b_final_value
SUSYc1XM1,-1.2619166382054752692175594706253637889632712418842968836418626879381765171415570261516257917788955632243030208829046309367474208486194137884752575664405555307808923356132317510979912196915605514104973090e+00
SUSYc1XM2,-1.9152815140375537476620956017265105925847654749333350080354590186777276224740828641786967463334749528288878448943122699446070654186083634728862696907657204560034884922474918108633431592382066456680945120e+01
SUSYc1XM4,-2.3877844889600882753731900603198329856744307062011882902382038264682331314496345970228027669535541945893586122049090641419422033123175113029563456061228050149529833534589804114165414189714736739720875200e+02
SUSYc1XM5,-2.9583439753165242930352055031290866195708638353685641406960547802558584395425276047218678278792581208593493592707460780634262820075835625161722405921938026492984576336044328457258509275245772118839840260e+02
SUSYc1XM6,-2.2746317015083736515818745604443550571405419837349859812264864423193846986546581676006550264865026996303132686865302926915620604253189328643150906483247314673269424067739973639448990308691252976768501520e+02
SUSYc1XM7,-7.7430848210158699591912359165638348212654579444586881193275359085916324286964281579271706313839886293420144572973819612798376293860865418762047197569780727275085120657651882251552453717566655738425577700e+02
SUSYc1XM8,-5.9083352989420615693032342449703769485485615575661164127157986114624064702602752517509805263325609709684891729659994617352994644792762905012961094331604650495108373788933984373994114297023001184665640160e+02
SUSYc1XM9,5.8892809415255148950285556973541122113675872496811362229380370608525397691337886196017064502257446695469007411555804421958702540447995123028993467284162019483949724342916433115636396734841951715207770990e+02
SUSYc1XM10,-5.1915237309165823565389472506292358681106742553300336565784509026637846501233218412682616329732716486268188488235487054743556308073865802465393157550793373500094378863882577290312284271469567964621841040e+02
SUSYc2XM1,6.3095831910273763460877973531268189448163562094214844182093134396908825857077851307581289588944778161215151044145231546837371042430970689423762878322027776539044616780661587554899560984578027570524865130e-01
SUSYc2XM2,3.3082931086090500050907577519730010459911607711247890336412087128840188618654164264036847210507981344049258285412704341123691714132383478872591978918331857697211673538321079787285114941568581392587864270e+00
SUSYc2XM3,7.0217222005960326750268508693755113136574564561631850114026005021891717413063235715277259963270964314254976339313520399012651632037772350516687190469303552071433324332622846931903719148816947046263444290e+00
SUSYc2XM4,2.3729027475990573318956036273753195179285698265513672913460469699211699170577162639406351992811681089073461535501834647700784764613428896409682017198086143519283478803607042640276951050007348967613090390e+00
SUSYc2XM5,1.5081030193017760479724897251435178648473305354027696705689800873375479830096245837897465000184582540859747763511096799640484811487055409735933671955561193551538512935983784748222044148091643479098244170e+00
SUSYc2XM6,9.0090034849109888279569282065634966526750597635215888940940223434073162593756005185179042902173980169738373837360669803548050129918929779142817674836122708709609757759695821626586942448152921104539290720e+00
SUSYc2XM7,-4.3554337176254728148058933942948190055741652656218087689514877687204504026433446161891921617684843430152878801715961758774314985029899968138816146837238310673987909589364199687891166939809292698022088490e+00
