var,b_final_value
SUSYc1XM1,-1.261916638205475269217559470639777235356788032060784510572736713382893210020638017522071620269145743870e+00
SUSYc1XM2,-1.915281514037553747662095601711742499716191853202169480485256726258329846058228184742223391877972985230e+01
SUSYc1XM4,-2.387784488960088275373190060295800237434529545305041788375925493822321171593887884242513482477824995810e+02
SUSYc1XM5,-2.958343975316524293035205503135584182122707396175307467337558955993071908439398302751753220553801507820e+02
SUSYc1XM6,-2.274631701508373651581874560390417121012417606762185528871003065423378654915294132474313270803904817470e+02
SUSYc1XM7,-7.743084821015869959191235916504828299823094748057481712946606043551610980689455444652356707052531800180e+02
SUSYc1XM8,-5.908335298942061569303234245097740119700308184147624845482145819855782711339468586617395160816095125870e+02
SUSYc1XM9,5.889280941525514895028555697530479024019670754256605293889869962820610683993200579980894678612621574830e+02
SUSYc1XM10,-5.191523730916582356538947250713370498895068292255325661230571367174027735577495928264961387212426727990e+02
SUSYc2XM1,6.309583191027376346087797353198886176783940160303922552863683566914466050103190087610358101345728719350e-01
SUSYc2XM2,3.308293108609050005090757751953249255531194989192611313772578813885880539086039726967525105281130353410e+00
SUSYc2XM3,7.021722200596032675026850869418008418745998600170384630336741706984084445391557169594180953071058709590e+00
SUSYc2XM4,2.372902747599057331895603627409440041473036145918312239101013960074337855485394143403654592648302208200e+00
SUSYc2XM5,1.508103019301776047972489725021353632773756810590869471881922299292605768069371143852036343553233130130e+00
SUSYc2XM6,9.009003484910988827956928206769584824576283389054236309112257798846693636952014928019154886205127009010e+00
SUSYc2XM7,-4.355433717625472814805893394391917603540055786994309093487687819701397844936586849904754081172735355880e+00
