var,b_final_value
SUSYc1XM1,-1.261916638205475269217559470625363788963271241884296883585713686554753200366413994825559216582895042290e+00
SUSYc1XM2,-1.915281514037553747662095601726510592584765474933335008092725284136172024796222591958927834607930570490e+01
SUSYc1XM4,-2.387784488960088275373190060319832985674430706201188290332877259237296275190620108769354653198263852620e+02
SUSYc1XM5,-2.958343975316524293035205503129086619570863835368564140669228248505965012765625839199181592906619540470e+02
SUSYc1XM6,-2.274631701508373651581874560444355057140541983734985981423281536493482820539081726303393224058403552820e+02
SUSYc1XM7,-7.743084821015869959191235916563834821265457944458688119583418185898947002719987274026978069839912255860e+02
SUSYc1XM8,-5.908335298942061569303234244970376948548561557566116412132996360422298958315825462483689964488159181670e+02
SUSYc1XM9,5.889280941525514895028555697354112211367587249681136222183801420207577968701231729522216775264464818570e+02
SUSYc1XM10,-5.191523730916582356538947250629235868110674255330033656213616047514563912987234901923172708603428618300e+02
SUSYc2XM1,6.309583191027376346087797353126818944816356209421484417928568432773766001832069974127796082914475211440e-01
SUSYc2XM2,3.308293108609050005090757751973001045991160771124789033717899914862212147369382308098250679967907135430e+00
SUSYc2XM3,7.021722200596032675026850869375511313657456456163185011235121086412432599171544039260061836243013341870e+00
SUSYc2XM4,2.372902747599057331895603627375319517928569826551367291185948825946362090454799895768915196430200640670e+00
SUSYc2XM5,1.508103019301776047972489725143517864847330535402769671077462201179788226598274370691993952813496314530e+00
SUSYc2XM6,9.009003484910988827956928206563496652675059763521588893233121194679141024415595391934308960757677111960e+00
SUSYc2XM7,-4.355433717625472814805893394294819005574165265621808768551817495841362122808284725772789295922762708710e+00
