var,b_final_value
SUSYc1XM1,-1.2619166382054752692175594706253637889632712418842968835857136866029521373231948624716026505256688075900069962826210759405352350428447485081378674712492895204266237330003326756872085652504956209577862330e+00
SUSYc1XM2,-1.9152815140375537476620956017265105925847654749333350080927252840873005797195306750598874567230799393591788884976246448251546007094452137039413376011699236123756151869544895717118288740330733798901149500e+01
SUSYc1XM4,-2.3877844889600882753731900603198329856744307062011882903328772591589997561661620762531521012075653741882520164652499151191902665107909775328171693275074639799821505046200841180199966772827822012417663230e+02
SUSYc1XM5,-2.9583439753165242930352055031290866195708638353685641406692282485223823276760709891756627230016605946223165117977552197119292467189942574713828881827047993491930316884139938922561450512054628691729653730e+02
SUSYc1XM6,-2.2746317015083736515818745604443550571405419837349859814232815363386048204593954922525346710323436869161601663950995410153308953364081922363323510127904803519265104459817981576810420655543739384286511020e+02
SUSYc1XM7,-7.7430848210158699591912359165638348212654579444586881195834181856494923451367270899095192777849785628573965399644182670601693264347667164307773532421975454364183137425255110805169261117282509822473257770e+02
SUSYc1XM8,-5.9083352989420615693032342449703769485485615575661164121329963609350263459445402174116932895462820230684195994461008756451281746080403132588497687345191950439518125022261493756902321496360447340200494020e+02
SUSYc1XM9,5.8892809415255148950285556973541122113675872496811362221838014208719212460906691034536559440311611200820560038299217562594805508649964782456948201472455617370407084953904939637379783217189560095713788580e+02
SUSYc1XM10,-5.1915237309165823565389472506292358681106742553300336562136160478276925839594792788517353405145810402550571272696634113620611637207109315246411945413893029237541443972784317831182621995423153959044138870e+02
SUSYc2XM1,6.3095831910273763460877973531268189448163562094214844179285684330147606866159743123580132526283440379500349814131053797026761752142237425406893373562464476021331186650016633784360428262524781047889311670e-01
SUSYc2XM2,3.3082931086090500050907577519730010459911607711247890337178999147991592787665933685836000788000571397410582221375243276167549948452878583153793457151439775749991112746935311541758957793139547147041466800e+00
SUSYc2XM3,7.0217222005960326750268508693755113136574564561631850112351210865399984167871704691180496347253645823429804923462799251864761975651157328348248561231879274726050071774968761309198781792404452909021144700e+00
SUSYc2XM4,2.3729027475990573318956036273753195179285698265513672911859488261143832398697347331772754222613579448113725503632206758890469651982260715917078648963890718875422256000513429515658640333524462832378853570e+00
SUSYc2XM5,1.5081030193017760479724897251435178648473305354027696710774622006836434333739982445579588824425974891505376537216157246882020111035860627735140609117162734501240435950767276570778733654121674405430502390e+00
SUSYc2XM6,9.0090034849109888279569282065634966526750597635215888932331211954622256093353707531899018898809924200315128447122169550770916272779867502893313610173647258974837275659639747507402395278221254902774279560e+00
SUSYc2XM7,-4.3554337176254728148058933942948190055741652656218087685518174962046742926044582460477394700140351157593823417400557768787148557397700373876313832216899397199031678283359810895042418985413942998473810190e+00
