var,b_final_value
SUSYc1XM1,-4.5002039896706326721009594016497439124995740189013724443749118068491160259828532130e+00
SUSYc1XM2,1.3239117342167338469788767636683711311272703208417004744355050769097774173196809390e+00
SUSYc1XM3,7.1055541922708947783866370306183825317876418500963741018106972393747454343537056180e+01
SUSYc1XM4,-3.8036920921328485471364319204461247864998301908457273814599096450610802107946296690e+02
SUSYc1XM6,-5.7280856886898670756888023266262011608199651977307822619795250305503740923159095880e+03
SUSYc1XM7,-6.4880671939915568727005899184569774538505587703797172020950806916624249933852247870e+03
SUSYc1XM8,-1.5610799356547337224193639508143944068022693804069601286299752107399003843225679460e+04
SUSYc1XM9,-9.3334896909364614963821818660601196043652800050747882551736350233565980527367169850e+03
SUSYc1XM10,-4.4308173392522034589872442180619643546792927020938364178660169115988280696604185080e+03
SUSYc2XM1,3.0001359931137551147339729344331626083330493459342482962499412045660773506552354700e+00
SUSYc2XM2,8.5406263751678187197398533874524761204546452701109103597316226418667161224322702300e+00
SUSYc2XM3,1.0951162558116561272316725318899091482444796814554318794789297934593420111369967620e+01
SUSYc2XM4,9.8034982826894770457825760664718166323836636367066698424787443740529144380200584990e+00
SUSYc2XM5,3.4325392234766231939007794585589748244218517289439793402584661983739985394636914130e+00
