var,b_final_value
SUSYc1XM1,-1.2619166382054752692175594707501554353636596998266296701699818988232853250245800890e+00
SUSYc1XM2,-1.9152815140375537476620956016000256158476706222902512008040818061755314897047716430e+01
SUSYc1XM4,-2.3877844889600882753731900601161781669211135902546250063711500962934570355590822350e+02
SUSYc1XM5,-2.9583439753165242930352055031752943842368564927652415773171888601972798823822342380e+02
SUSYc1XM6,-2.2746317015083736515818745600377430090171556006623388622207232829603489441170296880e+02
SUSYc1XM7,-7.7430848210158699591912359159389055502044853681248898630902568173307428997567407120e+02
SUSYc1XM8,-5.9083352989420615693032342462881018098470331109510236263758667449366269016132841670e+02
SUSYc1XM9,5.8892809415255148950285556990573171583711188254113018372247748473468680066605150150e+02
SUSYc1XM10,-5.1915237309165823565389472514377894908752069722596499245121634211723582938586798480e+02
SUSYc2XM1,6.3095831910273763460877973537507771768182984991331483508499094941164266251229004470e-01
SUSYc2XM2,3.3082931086090500050907577518083103459576085369479724304688022640460809635472140840e+00
SUSYc2XM3,7.0217222005960326750268508697170055941498429433113255109083580409632281735360167720e+00
SUSYc2XM4,2.3729027475990573318956036277882416956992312035108202222411215635148965230693768050e+00
SUSYc2XM5,1.5081030193017760479724897239052916257840780095008465893363386150528289506180708240e+00
SUSYc2XM6,9.0090034849109888279569282085547730971929789087944774131030799170230370665039683650e+00
SUSYc2XM7,-4.3554337176254728148058933952183642977786926600156599764867928044080349758338408540e+00
