var,b_final_value
SUSYc1XM1,-1.88142991462330615595458581914460e+00
SUSYc1XM2,-9.93665137476504252576575425061080e+00
SUSYc1XM3,8.96314426652050983275058196897320e+01
SUSYc1XM5,1.21930129905779997754958674838550e+03
SUSYc1XM6,-1.19220303825371234136194896907860e+02
SUSYc1XM7,1.00366125534781247410214029134020e+03
SUSYc1XM8,-3.18144808627802386652054811771280e+03
SUSYc1XM9,-2.47591032849044478795384238633730e+03
SUSYc1XM10,-1.55344525595792379538614885435650e+03
SUSYc2XM1,1.12885794877398369357275149148660e+00
SUSYc2XM2,3.89479520104413194505863456431970e+00
SUSYc2XM3,-2.22549402246878777871241437741680e+00
SUSYc2XM4,-5.06493543275024080106508446512130e+00
SUSYc2XM5,-9.48931564816517368963080059692660e+00
SUSYc2XM6,-4.05238475731173466489396902073070e+00
